results/description,results/Name_EN,results/name,results/power,results/address,results/provider,results/latitude,results/longitude,results/evConnectorCount,results/evConnectorAggregation
"2x CCS2: 60 kW, Type2: 11 kW",Lotus’s Samut Prakan,โลตัส สมุทรปราการ,60 kW,156/6 ถนนสายลวด ตำบลปากน้ำ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,Altervim,13.58786789,100.5979839,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's saraburi,โลตัส สระบุรี,150 kW,91 3 ถ. มิตรภาพ ตำบล ปากเพรียว อำเภอเมืองสระบุรี สระบุรี ,Altervim,14.52185,100.92213,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus’s Prasat,โลตัส ปราสาท,150 kW,68 ม. 2 ต.กังแอน อ.ปราสาท จ.สุรินทร์ 32140,Altervim,14.63142419459136,103.4075456917333,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus’s Tak,โลตัส ตาก,150 kW,18 ถ.พหลโยธิน ต.ระแหง อ.เมืองตาก จ.ตาก 63000,Altervim,16.86573,99.13508,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus’s Trang,โลตัส ตรัง,150 kW,120/6 ม. 2 ต.โคกหล่อ อ.เมือง จ.ตรัง 92000,Altervim,7.54185,99.61847,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus’s Trat,โลตัส ตราด,60 kW,1134 หมู่ 1 ต.วังกระแจะ อ.เมืองตราด จ.ตราด  23000,Altervim,12.25479,102.51063,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Ubonratchathani,โลตัส อุบลราชธานี,150 kW,492 ถ. ชยางกูร ตำบล ในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000,Altervim,15.25316577253757,104.850217443353,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus’s Warinchanrap,โลตัส วารินชำราบ,60 kW,55 ม. 20 ต.แสนสุข อ.วารินชำราบ จ.อุบลราชธานี 34109,Altervim,15.18148,104.85634,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Uttaradit,โลตัส อุตรดิตถ์,150 kW,2 ถ.ศรีชาววัง ต.ท่าอิฐ อำเภอเมือง จ.อุตรดิตถ์ 53000,Altervim,17.6073763,100.082038,,
"CCS2: 118 kW, Type2: CLOSED",,7-11 สีตบุตร,117 kW,"รองเมือง, ปทุมวัน, กรุงเทพมหานคร",EA,13.742579,100.521029,,
"CCS2: 118 kW, Type2: CLOSED",,7-11 สีตบุตร,117 kW,"รองเมือง, ปทุมวัน, กรุงเทพมหานคร",EA,13.742579,100.521029,,
"CCS2: 35 kW, Type2: 22 kW",,แมกโนเลียส์ วอเตอร์ฟรอนซ์ เรสซิเดนซ์,35 kW,"คลองต้นไทร, คลองสาน, กรุงเทพมหานคร",EA,13.727306,100.510499,,
"CCS2: 35 kW, Type2: 22 kW",,แมกโนเลียส์ วอเตอร์ฟรอนซ์ เรสซิเดนซ์,35 kW,"คลองต้นไทร, คลองสาน, กรุงเทพมหานคร",EA,13.727306,100.510499,,
"Type1: 11 kW, Type2: 7x 11 kW, CCS2: 38 kW, CLOSED  B1",,ICONSIAM (B1 Zone Gold),38 kW,"คลองต้นไทร, คลองสาน, กรุงเทพมหานคร",EA,13.726441,100.510086,,
"Type1: 11 kW, Type2: 7x 11 kW, CCS2: 38 kW, CLOSED  B1",,ICONSIAM (B1 Zone Gold),38 kW,"คลองต้นไทร, คลองสาน, กรุงเทพมหานคร",EA,13.726441,100.510086,,
"Type2: 22 kW, CCS2: CLOSED",,THE RIVER เจริญนคร,22 kW,"คลองต้นไทร, คลองสาน, กรุงเทพมหานคร",EA,13.721553,100.510305,,
"Type2: 22 kW, CCS2: CLOSED",,THE RIVER เจริญนคร,22 kW,"คลองต้นไทร, คลองสาน, กรุงเทพมหานคร",EA,13.721553,100.510305,,
"Type2: 22 kW, CCS2: 2x 150 kW",,ร้านอาหารครัวในซอย ซ.จรํญสนิทวงค์ 75,150 kW,"บางพลัด, บางพลัด, กรุงเทพมหานคร",EA,13.790473,100.490014,,
"Type2: 22 kW, CCS2: 2x 150 kW",,ร้านอาหารครัวในซอย ซ.จรํญสนิทวงค์ 75,150 kW,"บางพลัด, บางพลัด, กรุงเทพมหานคร",EA,13.790473,100.490014,,
"Type1: 22 kW, CLOSED, Type2: 2x 22 kW, CCS2: 40 kW",,อาคารจอดรถ จามจุรีสแควร์ ชั้น 7,40 kW,"ปทุมวัน, ปทุมวัน, กรุงเทพมหานคร",EA,13.73299,100.530401,,
"Type1: 22 kW, CLOSED, Type2: 2x 22 kW, CCS2: 40 kW",,อาคารจอดรถ จามจุรีสแควร์ ชั้น 7,40 kW,"ปทุมวัน, ปทุมวัน, กรุงเทพมหานคร",EA,13.73299,100.530401,,
